Date,Open,High,Low,Close,Adj Close,Volume
22-08-05,2901,3249,2899,3185.050049,3010.156494,99700
29-08-05,3200,3200,2965,2979.449951,2815.845703,17062
05-09-05,3045,3150,2960,3063.899902,2895.658203,15105
12-09-05,3060,3500,3010,3368.949951,3183.958252,33728
19-09-05,3445,3445,2916.399902,2989.050049,2824.918457,18940
26-09-05,3025,3250,3025,3139.550049,2967.153809,15078
03-10-05,3197,3370,3150,3234.25,3056.653564,9823
10-10-05,3200,3275,3006,3109.600098,2938.848633,5235
17-10-05,3180,3198,2720,2772.850098,2620.59082,16356
24-10-05,2810,2948,2701,2726.399902,2576.690918,8494
31-10-05,2775,2828.899902,2715,2788.600098,2635.474609,3477
07-11-05,2810,3000,2795,2816.600098,2664.870117,17094
14-11-05,2865,2934,2780,2877,2722.016846,7766
21-11-05,2801,2960,2801,2876.800049,2721.827393,4900
28-11-05,2890,2935,2830,2860.600098,2706.500732,5794
05-12-05,2915,2915,2805,2898.949951,2742.783936,5462
12-12-05,2939.899902,2939.899902,2800,2829.199951,2676.790771,5754
19-12-05,2890,2988,2800,2849.050049,2695.571777,28480
26-12-05,2776,2850,2717,2748.449951,2600.391357,10804
02-01-06,2705,2800,2701,2740.75,2593.106201,8354
09-01-06,2752,2780,2674,2690.199951,2545.279297,6700
16-01-06,2691,2793.949951,2660,2742.300049,2594.571533,8255
23-01-06,2759,2889,2705,2860.699951,2706.594238,11246
30-01-06,2865,2865,2725,2800.600098,2649.731934,7547
06-02-06,2802.100098,3398,2800.050049,3279.949951,3103.259766,48409
13-02-06,3340,3340,3081,3117.449951,2949.513672,18331
20-02-06,3131,3300,2945,3021.350098,2858.591064,11556
27-02-06,3060,3259.899902,2925,3160.399902,2990.149414,26471
06-03-06,3170,3220,3100,3116.399902,2948.520264,13407
13-03-06,3240,3265,3110,3193.5,3035.003174,9034
20-03-06,3359,3359,3026.149902,3187.850098,3029.634277,11864
27-03-06,3175.050049,3252,2930,3101.800049,2947.854248,19528
03-04-06,3110.050049,3895.5,3110.050049,3874.899902,3682.583984,52842
10-04-06,3940,4068.649902,3674.949951,3704.850098,3520.975586,35012
17-04-06,3765,3970,3710,3809,3619.955078,16294
24-04-06,3885,3999.449951,3301,3485.899902,3312.891846,24553
01-05-06,3500,3660,3500,3552.649902,3376.328613,8729
08-05-06,3600,3620,3380,3393.449951,3225.029541,9673
15-05-06,3549.949951,3550,3080,3127.100098,2971.89917,8463
22-05-06,3130,3130,2751,2947.949951,2801.639648,4676
29-05-06,2962,3069,2636.25,2744.699951,2608.478027,5216
05-06-06,2705.199951,2770,2282.800049,2441.399902,2320.230469,4859
12-06-06,2450,2451.199951,2100,2251.050049,2139.327148,5383
19-06-06,2300,2540,2204.199951,2479.300049,2356.250244,5039
26-06-06,2549,2565,2350,2411.949951,2292.242188,4299
03-07-06,2500,2505,2400,2463.550049,2341.282227,5095
10-07-06,2460,2560,2450,2517.949951,2392.980957,3481
17-07-06,2510,2648,2455.100098,2615.899902,2486.070313,9837
24-07-06,2551,2949.800049,2550,2831.399902,2690.874023,4730
31-07-06,2880,3344.699951,2808,3250.25,3088.936035,16603
07-08-06,3500,3748,3180,3444.25,3276.650879,36130
14-08-06,3490,3770,3450,3550.649902,3377.873779,16154
21-08-06,3405,3700,3405,3640.399902,3463.256348,18122
28-08-06,3600,3843.850098,3581,3797.25,3612.474121,19906
04-09-06,3800,4040,3762.800049,3967.25,3774.200684,20531
11-09-06,3915,4019.949951,3768.899902,3857.5,3669.791748,15340
18-09-06,3920,3937,3726,3800.449951,3615.518555,9842
25-09-06,3835,3925,3750,3873.550049,3685.061768,10471
02-10-06,3873.550049,4257.100098,3840,4257.100098,4049.947021,25962
09-10-06,4301,4800,4150,4567.700195,4345.434082,66739
16-10-06,4690,4700,4260,4436.450195,4220.570801,21380
23-10-06,4620,4620,4260,4284.200195,4075.729736,9667
30-10-06,4310,4409,4171,4212.799805,4007.802979,18418
06-11-06,4180.100098,4450,4055.199951,4110.950195,3910.908691,14774
13-11-06,4070,4780,4070,4301.200195,4091.9021,26654
20-11-06,4242,4575,4115.549805,4286,4080.148193,25103
27-11-06,4350,4720,4291.350098,4539.850098,4321.805664,36465
04-12-06,4594,4599.5,4300,4313.299805,4106.135742,12948
11-12-06,4415,4425,3900,4249.549805,4045.447998,18372
18-12-06,4380,4496,4230,4304.25,4097.521973,18128
25-12-06,4304.25,4380,4250,4293.200195,4087.00293,5225
01-01-07,4293.200195,4388,4230,4284.899902,4079.099365,3424
08-01-07,4206.100098,4343,4201.200195,4233.799805,4030.452881,2945
15-01-07,4265,4349,4205,4215.600098,4013.128906,12865
22-01-07,4211,4410,4150,4193.799805,3992.375732,12052
29-01-07,4250,4251,4062.100098,4100.75,3903.794678,8605
05-02-07,4100,4110,4000,4008.550049,3816.023682,5137
12-02-07,4010.25,4120,3850,3930.149902,3741.388916,4115
19-02-07,4000,4010,3720,3737.800049,3558.277588,3801
26-02-07,3752,3838,3531,3683.699951,3506.775146,4496
05-03-07,3650,3673,3250,3282.5,3124.845459,6283
12-03-07,3398,3398,3275,3372.399902,3223.884033,3817
19-03-07,3479,3605,3270.300049,3424.800049,3273.977051,6055
26-03-07,3530,3530,3270,3347.100098,3199.698486,3468
02-04-07,3335,3339.850098,3216,3231.800049,3089.476563,1927
09-04-07,3280,3297,3220,3252.100098,3108.881836,3047
16-04-07,3300,3849,3250.050049,3643.050049,3482.614746,22930
23-04-07,3699,3780,3526,3664.350098,3502.977295,10395
30-04-07,3505.100098,3817,3505.100098,3766,3600.151367,3090
07-05-07,3799,3865,3750,3806.800049,3639.154053,3429
14-05-07,3820,3934,3806.5,3880.649902,3709.750732,2949
21-05-07,3771,3925,3771,3807.100098,3639.440918,2677
28-05-07,3810,4250,3800,4224,4037.981445,12554
04-06-07,4249,4274.5,3850,3890.550049,3719.215332,3928
11-06-07,4220,4220,3805.050049,3948.949951,3775.043701,3798
18-06-07,3920,3965,3801.149902,3849.699951,3680.164063,3985
25-06-07,3830,4149,3753,4037.199951,3859.407227,4337
02-07-07,4200,4200,3970,4082.100098,3902.329834,4024
09-07-07,4050.550049,4250.049805,3916,4123.850098,3942.241211,5493
16-07-07,4123.850098,4350,4100,4155.25,3972.257324,7613
23-07-07,4199.899902,4370,3915,4102.75,3922.070068,17798
30-07-07,4170,4179.950195,3927,3935.25,3761.946777,5287
06-08-07,4008.800049,4008.800049,3611,3796.350098,3629.164795,3959
13-08-07,3888,4048,3808,3903.75,3734.765869,5892
20-08-07,3882,3969,3748.5,3791.800049,3627.662598,2436
27-08-07,3830,3870,3756,3838.699951,3672.532959,2583
03-09-07,3975,4003,3760,3824.75,3659.186279,3789
10-09-07,3840,3870,3800,3813.899902,3648.805664,9112
17-09-07,3830,3850,3755,3796.800049,3632.445801,14387
24-09-07,3800,3810,3715.100098,3759.949951,3597.191895,3986
01-10-07,3800,3805,3685,3707.149902,3546.676025,5324
08-10-07,3750,4421.5,3640,4062.850098,3886.97998,38127
15-10-07,4240,5170,3910.550049,4660.25,4458.518555,44846
22-10-07,4600,5700,4550,5621.299805,5377.966309,69100
29-10-07,5774,8968,5774,7878.399902,7537.362793,206443
05-11-07,7998,8199.950195,6001,7777,7440.354004,98039
12-11-07,7600,8000,7200,7255.850098,6944.735352,61222
19-11-07,7460,7750,6335.200195,6676,6389.74707,31739
26-11-07,7000,7744.399902,6635.049805,7062.399902,6759.581055,39356
03-12-07,7249.950195,7650,7090,7243.850098,6933.248535,27916
10-12-07,7484,8300,7171.399902,7533.649902,7210.623535,83024
17-12-07,7750,7750,6901,6953.75,6655.588867,22990
24-12-07,7248,7410,6966,7068.649902,6765.5625,17921
31-12-07,7101,7400,7000,7039.25,6737.422363,21874
07-01-08,7040,7150,6260,6352.25,6079.878418,17121
14-01-08,6480,6535,6100,6145.149902,5881.660645,10654
21-01-08,6051,6051,4129,5052.149902,4835.524414,22295
28-01-08,4850,5249,4701,4792.899902,4587.39209,14889
04-02-08,4999.899902,5150,4605,4687.200195,4486.224121,10921
11-02-08,4700,4700,4150,4566.899902,4371.083008,13669
18-02-08,4800,4989.899902,4055,4591.200195,4394.338867,5683
25-02-08,4649.950195,4749,4452,4598.75,4401.563965,3930
03-03-08,4582.899902,4589,4160,4254.200195,4071.789307,6528
10-03-08,4080,4590,3960,4066.100098,3904.163086,9670
17-03-08,3958,4046,3500,3751.800049,3602.380859,6029
24-03-08,3750,4200,3502.199951,4078.399902,3915.973633,11123
31-03-08,4001,4150,3835,3900.75,3745.398438,7253
07-04-08,3901,4125,3880,4007.850098,3848.233154,4844
14-04-08,4007.850098,4322,3977,4248.350098,4079.155762,4585
21-04-08,4250,4689,4230,4607.600098,4424.097656,17218
28-04-08,4664,4779.799805,4500,4593.25,4410.319824,11025
